Order,TRACKING,CHSVIA,State
71722624,92748902712015573014507940,MPSL,MA
71725529,92419902712015573014508779,MBPM,ID
71734524,92748902712015573014509203,MPSL,IA
71725153,92419902712015573014510802,MBPM,CA
71725878,92419902712015573014511458,MBPM,VA
71724808,92419902712015573014511847,MBPM,MD
71727876,92419902712015573014512158,MBPM,NC
71727178,92419902712015573014512318,MBPM,MA
71724853,92419902712015573014512585,MBPM,NC
71728462,92419902712015573014513209,MBPM,IN
71732800,92419902712015573014513643,MBPM,AL
71730344,92748902712015573014513712,MPSL,KS
71737643,92748902712015573014518380,MPSL,CO
71738225,92748902712015573014519066,MPSL,NY
71738586,92419902712015573014520801,MBPM,NJ
71739445,92419902712015573014521167,MBPM,NY
71740693,92419902712015573014523741,MBPM,IN
71739804,92419902712015573014525141,MBPM,NC
71741302,92419902712015573014527503,MBPM,MA
71741237,92419902712015573014527718,MBPM,IN
71741487,92419902712015573014528647,MBPM,UT
71742345,92419902712015573014529798,MBPM,AZ
71742993,92748902712015573014530641,MPSL,NY
71742533,92419902712015573014532354,MBPM,KS
71743231,92419902712015573014533382,MBPM,AZ
71743585,92419902712015573014533962,MBPM,TX
71742658,92419902712015573014534631,MBPM,TX
71743452,92748902712015573014534854,MPSL,CA
71744028,92419902712015573014535225,MBPM,OH
71743970,92419902712015573014535423,MBPM,CA
71744987,92419902712015573014536970,MBPM,FL
71745780,92419902712015573014538844,MBPM,NY
71745864,92748902712015573014539934,MPSL,SC
71746187,92748902712015573014540749,MPSL,GA
71746592,92419902712015573014541561,MBPM,MA
71713136,92419902712015573014588450,MBPM,NY
71727797,92419902712015573014543541,MBPM,CT
71746729,92419902712015573014543824,MBPM,MI
71747785,92419902712015573014547150,MBPM,PA
71748097,92419902712015573014547914,MBPM,WI
71747630,92419902712015573014548881,MBPM,NJ
71747794,92419902712015573014549758,MBPM,OK
71748274,92419902712015573014550716,MBPM,OK
71748264,92419902712015573014550792,MBPM,PA
71748824,92748902712015573014551981,MPSL,MN
71748904,92419902712015573014552277,MBPM,TX
71749217,92419902712015573014553885,MBPM,MN
71750368,92748902712015573014555705,MPSL,CO
71750699,92419902712015573014556107,MBPM,WI
71749327,92419902712015573014556893,MBPM,CA
71749356,92748902712015573014557020,MPSL,TN
71750956,92419902712015573014558514,MBPM,IN
71751200,92419902712015573014558613,MBPM,IA
71751336,92419902712015573014558866,MBPM,CA
71751533,92419902712015573014559009,MBPM,CA
71751614,92419902712015573014559146,MBPM,NJ
71752416,92419902712015573014560319,MBPM,WI
71749779,92419902712015573014560982,MBPM,FL
71749974,92419902712015573014561255,MBPM,MI
71750106,92419902712015573014561354,MBPM,FL
71750220,92419902712015573014561460,MBPM,PA
71750231,92419902712015573014561569,MBPM,IL
71750784,92419902712015573014562399,MBPM,NJ
71750835,92419902712015573014562528,MBPM,IL
71750889,92419902712015573014562535,MBPM,IL
71751212,1Z1W1R130318435687,UMOC,CA
71750833,92419902712015573014563334,MBPM,NY
71751307,92419902712015573014564164,MBPM,CA
71751490,1Z1W1R130318611834,UMOC,LA
71751616,92419902712015573014564775,MBPM,ID
71751466,92419902712015573014564799,MBPM,IN
71751844,92419902712015573014565390,MBPM,TX
71752005,92419902712015573014565666,MBPM,FL
71752368,92419902712015573014566397,MBPM,OK
71752709,92419902712015573014566984,MBPM,TX
71753274,92419902712015573014567745,MBPM,IN
71753539,92419902712015573014568292,MBPM,IN
71753546,92419902712015573014570950,MBPM,ND
71662906,92748902712015573014571477,MPSL,MT
71752689,92419902712015573014571568,MBPM,LA
71752780,92419902712015573014571629,MBPM,NJ
71752769,92419902712015573014571667,MBPM,CA
71661502,92748902712015573014571934,MPSL,CA
71753284,92419902712015573014572626,MBPM,MA
71647377,92419902712015573014572695,MBPM,OH
71753564,92748902712015573014574171,MPSL,TN
71754060,92419902712015573014575894,MBPM,OR
71640800,9205590295388102777661,UPM,PR
71754326,9205590295388102777678,UPM,WI
71754706,92419902712015573014576716,MBPM,NY
71754733,92419902712015573014576884,MBPM,NM
71643266,92419902712015573014577195,MBPM,SC
71754234,92419902712015573014577232,MBPM,MD
71755658,92419902712015573014579229,MBPM,NY
71755913,92419902712015573014579809,MBPM,WI
71756146,92419902712015573014580201,MBPM,PA
71756241,92419902712015573014580331,MBPM,CA
71756345,92419902712015573014580492,MBPM,AR
71756508,92419902712015573014580706,MBPM,MI
71755561,9205590295388102777791,UCPC,VI
71755801,92419902712015573014581864,MBPM,WA
71756322,92419902712015573014582366,MBPM,TX
71757098,92419902712015573014583219,MBPM,MI
71757203,92419902712015573014583356,MBPM,PA
71756338,92419902712015573014585732,MBPM,PA
71756428,92748902712015573014585849,MPSL,OK
71757014,92419902712015573014586142,MBPM,NJ
71756664,92419902712015573014586517,MBPM,MI
71757107,92419902712015573014586739,MBPM,MA
71757434,92419902712015573014587118,MBPM,NJ
71757486,92419902712015573014587132,MBPM,PA
71756659,92419902712015573014587385,MBPM,KY
71757279,92419902712015573014587828,MBPM,KY
71748428,1Z1W1R130318445345,UMOC,MA
71757017,92419902712015573014589501,MBPM,MN
71757825,92419902712015573014590293,MBPM,CA
71757935,92419902712015573014590460,MBPM,MO
71757844,92419902712015573014590972,MBPM,VA
71758861,92419902712015573014592099,MBPM,MO
71759338,92419902712015573014592334,MBPM,NJ
71759195,92419902712015573014595526,MBPM,WI
71760534,92419902712015573014596967,MBPM,FL
71760983,92419902712015573014597483,MBPM,OH
71758944,92419902712015573014598329,MBPM,OK
71760116,92419902712015573014599975,MBPM,NH
71761906,92748902712015573014601815,MPSL,PA
71760064,92419902712015573014602293,MBPM,WI
71761148,92419902712015573014604068,MBPM,MA
ACR44096,92419902712015573014604808,MBPM,PA
71761455,92419902712015573014605300,MBPM,MA
71761410,92419902712015573014607427,MBPM,NY
71761705,92748902712015573014608029,MPSL,KY
71762895,92419902712015573014610748,MBPM,MI
71764306,92419902712015573014613947,MBPM,CA
71763637,92419902712015573014614777,MBPM,IN
71763776,92419902712015573014615033,MBPM,TX
71764887,92419902712015573014616115,MBPM,WY
71761846,1Z1W1R130318476106,UMOC,KY
71764831,1Z1W1R130318480379,UMOC,CA
71765529,9205590295388102779160,UPM,NY
71775260,9205590295388102779276,UPM,AP
71768939,92419902712015573014627784,MBPM,IA
71768998,7807453511,DHLE,PR
71768402,9205590295388102782092,UPM,NJ
71768849,1Z1W1R130318484848,UMOC,CA
71767561,92748902712015573014630211,MPSL,MA
71768465,92419902712015573014630685,MBPM,OH
71768693,1Z1W1R130318485061,UMOC,MO
71768946,92748902712015573014631140,MPSL,NJ
71769257,92748902712015573014632284,MPSL,PA
71769621,92419902712015573014632566,MBPM,TX
71769538,92419902712015573014632641,MBPM,CA
71769992,9205590295388102779450,UPM,NE
71769998,92419902712015573014633464,MBPM,SC
71772208,92419902712015573014637349,MBPM,NJ
71772228,92419902712015573014637417,MBPM,IL
71771018,92419902712015573014638797,MBPM,NY
71771637,92748902712015573014639931,MPSL,OR
71772833,1Z1W1R130318489334,UMOC,PA
71773314,9205590295388102779665,UCPC,HI
71774612,1Z1W1R130318489861,UMOC,NC
71774959,9205590295388102779672,UPM,Mp
71775191,9205590295388102779696,UPM,Mp
71775148,92419902712015573014641896,MBPM,MN
71775711,1Z1W1R130318490395,UMOC,CA
71772694,92419902712015573014643364,MBPM,CA
71775023,92419902712015573014644927,MBPM,WA
71775065,9205590295388102779764,UPM,CO
71773541,9205590295388102779801,UCPC,PR
71774627,92748902712015573014648278,MPSL,CA
71775921,92419902712015573014650652,MBPM,IN
71776509,9205590295388102779924,UPM,AK
71776339,9205590295388102779955,UPM,MN
71776775,92419902712015573014652465,MBPM,AZ
71776859,9205590295388102780012,UCPC,HI
71777132,92419902712015573014653158,MBPM,MN
71777277,92748902712015573014653357,MPSL,SC
71776740,9205590295388102780074,UPM,HI
71777673,92748902712015573014656372,MPSL,KY
71777285,92748902712015573014656457,MPSL,FL
71777532,92748902712015573014656884,MPSL,NY
300132067,9205590295388102780272,UPM,SD
71708814,9205590295388102780319,UPM,MI
71786585,9205590295388102780340,UCPC,IL
71755117,9205590295388102780432,UPM,AK
71696835,9205590295388102782924,UPM,AR
71787161,1Z1W1R130318499396,UMOC,MT
71787798,92419902712015573014658597,MBPM,CA
71781733,9205590295388102780487,UPM,WA
71782715,92419902712015573014658955,MBPM,WA
71781554,1Z1W1R130318500445,UMOR,FL
71783871,1Z1W1R130318500552,UMOC,MO
71777868,92748902712015573014659427,MPSL,IN
71781196,1Z1W1R130318501499,UMOR,OH
71781545,1Z1W1R130318501524,UMOC,NY
71784026,92419902712015573014660460,MBPM,MA
71767943,1Z1W1R130318502685,UMOC,OH
71768917,1Z1W1R130318503095,UMOC,MI
71768595,9205590295388102780524,UPM,VT
71767972,9205590295388102780531,UPM,NY
300131926,9205590295388102780548,UPM,TX
71768682,1Z1W1R130318503620,UMOC,CO
71769973,1Z1W1R130318504281,UMOC,WI
71770207,1Z1W1R130318504432,UMOC,MN
71772215,9205590295388102780555,UPM,NJ
71771479,1Z1W1R130318506083,UMOC,WA
71774269,1Z1W1R130318506789,UMOC,NY
71775151,9205590295388102780562,UPM,WY
71775270,1Z1W1R130318507171,UMOR,CA
71775542,1Z1W1R130318507180,UMOR,ID
71775791,9205590295388102780579,UPM,AZ
71774099,9205590295388102780609,UPM,MT
71772947,1Z1W1R130318507911,UMOC,PA
300131953,9205590295388102780616,UPM,MD
71777555,9205590295388102780630,UPM,Gu
71777553,1Z1W1R130318510309,UMOC,IN
71777595,1Z1W1R130318510318,UMOR,DE
71777693,9205590295388102780647,UPM,PA
71781418,92419902712015573014661276,MBPM,NY
71787657,9205590295388102780708,UPM,WI
71783808,9205590295388102780715,UCPC,HI
71786326,9205590295388102782931,UPM,WV
71786998,9205590295388102780722,UPM,ME
71788004,92419902712015573014661917,MBPM,IL
71778074,92419902712015573014662136,MBPM,MI
71767676,1Z1W1R130318512852,UMOC,CA
71784367,9205590295388102780784,UPM,PR
71779398,1Z1W1R130318513593,UMOC,WI
71780205,92419902712015573014663959,MBPM,CA
71786541,9205590295388102780791,UPM,NY
71787449,1Z1W1R130318514190,UMOC,IL
71780885,1Z1W1R130318514234,UMOC,GA
71781298,1Z1W1R130318514369,UMOC,PA
71787151,9205590295388102780807,UPM,MO
71784341,92419902712015573014665458,MBPM,CT
71778773,1Z1W1R130318515117,UMOR,FL
71778802,92419902712015573014665625,MBPM,MI
71786765,9205590295388102780821,UPM,AK
71786722,9205590295388102780838,UCPC,AK
71784300,92419902712015573014665809,MBPM,CA
71786645,1Z1W1R130318515288,UMOC,PA
71787615,92419902712015573014666301,MBPM,WI
71787912,92419902712015573014666479,MBPM,FL
71781594,92419902712015573014666677,MBPM,NM
71783098,9205590295388102780852,UPM,AK
71783098,9205590295388102780869,UPM,AK
71785665,9205590295388102780876,UPM,OK
71787924,1Z1W1R130318516223,UMOC,CO
71783907,9205590295388102780883,UPM,OH
71778229,1Z1W1R130318516376,UMOC,PA
71781330,92419902712015573014667469,MBPM,PA
71778411,92419902712015573014667636,MBPM,MN
71782368,92419902712015573014667964,MBPM,FL
71782482,92419902712015573014667971,MBPM,AR
71779853,92419902712015573014668107,MBPM,CA
71782053,92419902712015573014668145,MBPM,NY
71782980,1Z1W1R130318517035,UMOR,MN
71778947,92419902712015573014668428,MBPM,NE
71785065,9205590295388102780906,UPM,IL
71782036,1Z1W1R130318518070,UMOC,MI
71784067,9205590295388102780913,UCPC,AR
71778563,92419902712015573014670681,MBPM,OH
71784642,9205590295388102780937,UCPC,HI
71780220,1Z1W1R130318519131,UMOC,ME
71780528,9205590295388102780944,UCPC,MN
71772165,1Z1W1R130318519408,UMOC,KY
71779204,9205590295388102780951,UPM,OH
71778657,92419902712015573014671756,MBPM,MA
71787406,1Z1W1R130318519766,UMOR,AZ
71783775,92419902712015573014672203,MBPM,TN
71781625,92419902712015573014672289,MBPM,MT
71780783,92419902712015573014672401,MBPM,NY
71781502,9205590295388102780975,UPM,OK
71782702,1Z1W1R130318520129,UMOC,PA
71781136,9205590295388102780982,UPM,WI
71781875,92419902712015573014672661,MBPM,TN
71781042,92419902712015573014672685,MBPM,NY
71783868,9205590295388102780999,UPM,AK
71778004,1Z1W1R130318520530,UMOC,OH
71783561,92419902712015573014672944,MBPM,IL
71782224,9205590295388102781002,UPM,PA
71781419,9205590295388102781019,UPM,TN
71786087,1Z1W1R130318521468,UMOC,CO
71784942,9205590295388102781026,UCPC,HI
71786318,1Z1W1R130318521913,UMOC,WA
71779152,1Z1W1R130318521940,UMOC,MN
71779989,9205590295388102781033,UPM,GA
71777740,9205590295388102781040,UPM,NY
71780180,9205590295388102781057,UPM,MI
71784907,92419902712015573014675150,MBPM,IL
71784761,1Z1W1R130318522467,UMOC,PA
71779950,1Z1W1R130318522609,UMOC,CO
71784793,1Z1W1R130318522743,UMOC,ND
71783979,92419902712015573014675860,MBPM,CA
71781326,9205590295388102781071,UPM,PR
71781462,92419902712015573014676409,MBPM,FL
71779444,1Z1W1R130318523582,UMOR,NY
71781661,1Z1W1R130318523831,UMOC,MN
71779092,92419902712015573014677635,MBPM,PA
71782775,1Z1W1R130318523984,UMOC,IL
71783213,1Z1W1R130318523993,UMOC,OH
71786557,9205590295388102781095,UCPC,TX
71780226,1Z1W1R130318524036,UMOC,OH
71780223,1Z1W1R130318524081,UMOC,MI
71784499,9205590295388102781118,UPM,AK
71782173,92419902712015573014678250,MBPM,IA
71782363,92748902712015573014678558,MPSL,ID
71782113,9205590295388102781132,UPM,NY
71778533,92419902712015573014678786,MBPM,TX
71783196,9205590295388102781149,UCPC,WA
71781570,1Z1W1R130318525302,UMOC,TN
71778352,1Z1W1R130318525348,UMOC,CT
71778368,92419902712015573014680413,MBPM,WI
71784697,1Z1W1R130318525599,UMOC,MN
71788042,92419902712015573014680611,MBPM,OR
71780507,92419902712015573014681038,MBPM,GA
71778958,92419902712015573014681243,MBPM,KS
71781611,92419902712015573014681823,MBPM,CA
71777944,9205590295388102781163,UPM,GU
71782009,92419902712015573014682837,MBPM,CA
71783995,1Z1W1R130318526927,UMOC,DE
71778896,9205590295388102781194,UPM,OH
71783307,1Z1W1R130318527097,UMOC,KY
71778645,92419902712015573014683582,MBPM,NC
71780267,9205590295388102781200,UCPC,MO
71784522,92419902712015573014683940,MBPM,CA
71782094,92419902712015573014683957,MBPM,CA
71781792,92419902712015573014684022,MBPM,WI
71784415,1Z1W1R130318527382,UMOC,CO
71779648,9205590295388102782993,UPM,IN
71784049,9205590295388102781217,UCPC,HI
71784488,9205590295388102781224,UCPC,HI
71777723,1Z1W1R130318527640,UMOC,ME
71782040,92419902712015573014684879,MBPM,NV
71785144,92419902712015573014685357,MBPM,MN
71782494,9205590295388102781231,UCPC,AK
71780285,9205590295388102781248,UPM,TX
71780191,92419902712015573014685593,MBPM,CA
71786733,92419902712015573014685609,MBPM,CA
71785315,92419902712015573014686309,MBPM,IN
71782876,9205590295388102781262,UPM,IL
71784343,92419902712015573014686934,MBPM,SD
71784099,9205590295388102781279,UCPC,WV
71785772,9205590295388102781286,UPM,AL
71785509,1Z1W1R130318529031,UMOC,IA
71780721,9205590295388102781309,UPM,AK
71786666,9205590295388102781316,UPM,MI
71786564,92419902712015573014688549,MBPM,WA
71779702,92419902712015573014688891,MBPM,NJ
71785971,92419902712015573014689065,MBPM,IL
71784509,92419902712015573014689249,MBPM,CA
71785735,9205590295388102781347,UPM,IN
71781380,9205590295388102781354,UPM,NC
71781884,92748902712015573014689813,MPSL,CA
71787968,92419902712015573014690016,MBPM,CA
71780833,92419902712015573014690078,MBPM,IL
71784036,92419902712015573014690092,MBPM,SC
71779194,92419902712015573014690177,MBPM,IL
71783643,1Z1W1R130318530332,UMOC,NY
71778615,92419902712015573014690528,MBPM,MN
71784055,9205590295388102781361,UPM,MO
71785902,1Z1W1R130318530618,UMOC,ME
71786616,9205590295388102781378,UPM,IN
71784613,92419902712015573014691624,MBPM,CA
71784911,1Z1W1R130318530930,UMOC,CA
71786333,92419902712015573014691730,MBPM,LA
71783543,92419902712015573014692164,MBPM,IN
71785611,9205590295388102781392,UPM,HI
71785475,92419902712015573014692515,MBPM,PA
71785683,9205590295388102781408,UCPC,HI
71785388,9205590295388102781415,UPM,CO
71767722,92419902712015573014693345,MBPM,NY
71785280,9205590295388102781446,UCPC,SD
71785285,92419902712015573014693635,MBPM,WA
71779523,92748902712015573014693780,MPSL,NC
71786022,1Z1W1R130318531644,UMOC,WI
71786819,92419902712015573014693970,MBPM,NJ
71785294,92419902712015573014694434,MBPM,NY
71786581,92748902712015573014694831,MPSL,WA
71786355,9205590295388102781453,UPM,ND
71785897,92419902712015573014694861,MBPM,CA
71783628,92419902712015573014694908,MBPM,NJ
71784518,92419902712015573014695202,MBPM,TX
71786170,92419902712015573014695233,MBPM,AR
71783409,1Z1W1R130318532134,UMOC,OH
71785931,92419902712015573014695561,MBPM,WA
71780366,92419902712015573014695639,MBPM,NJ
71787295,9205590295388102781484,UPM,IA
71784327,9205590295388102781491,UPM,PA
71785039,92419902712015573014696230,MBPM,OH
71783401,9205590295388102781507,UPM,PA
71784277,9205590295388102781514,UPM,CA
71783494,9205590295388102781538,UPM,AK
71777555,9205590295388102781545,UPM,Gu
71781701,9205590295388102781552,UPM,HI
71780599,92748902712015573014697016,MPSL,AZ
71778568,92419902712015573014697633,MBPM,MI
71778785,92419902712015573014697831,MBPM,PA
71783508,1Z1W1R130318532858,UMOC,CO
71782518,9205590295388102781576,UPM,CA
71782372,92419902712015573014698630,MBPM,OH
71782838,9205590295388102782979,UPM,KS
71779554,9205590295388102782962,UPM,FL
71782712,9205590295388102781583,UPM,AZ
71783277,1Z1W1R130318533419,UMOC,DE
71778682,9205590295388102781590,UPM,Gu
71778983,92748902712015573014701041,MPSL,OH
71781022,92419902712015573014701750,MBPM,NY
71784270,92748902712015573014702093,MPSL,OK
71783688,92419902712015573014702375,MBPM,GA
71780451,92419902712015573014702467,MBPM,OH
71685827,92419902712015573014703228,MBPM,OK
71788210,1Z1W1R130318534632,UMOC,ME
300132292,9205590295388102781613,UPM,VA
71788315,9205590295388102781620,UPM,NE
71788651,1Z1W1R130318535060,UMOC,NY
71788720,1Z1W1R130318535088,UMOC,WI
71788737,92419902712015573014704171,MBPM,CA
71788241,9205590295388102781637,UPM,MI
300132294,9205590295388102781644,UPM,IL
71788395,9205590295388102781668,UPM,NE
71788405,92419902712015573014704805,MBPM,NY
71788544,1Z1W1R130318535711,UMOC,WI
71788375,92419902712015573014705109,MBPM,ME
71788493,92419902712015573014705215,MBPM,TX
71788592,92419902712015573014705437,MBPM,CA
71788608,1Z1W1R130318535908,UMOR,NJ
71788635,9205590295388102781675,UPM,PR
71788726,92419902712015573014705598,MBPM,NY
71788788,92748902712015573014705629,MPSL,NY
71788787,92419902712015573014705673,MBPM,OK
71788751,9205590295388102781682,UPM,AR
71788760,9205590295388102781699,UPM,NE
71788459,92419902712015573014705901,MBPM,IA
71788795,92419902712015573014706175,MBPM,MI
71788971,9205590295388102781705,UPM,NM
71789007,92419902712015573014706663,MBPM,CO
71789013,1Z1W1R130318536765,UMOR,TN
71789046,92419902712015573014706847,MBPM,AZ
71789052,1Z1W1R130318536854,UMOC,OH
71789181,1Z1W1R130318536907,UMOC,CA
71789175,1Z1W1R130318536943,UMOR,AZ
71789186,9205590295388102781712,UPM,HI
71789180,1Z1W1R130318536970,UMOC,OH
71788690,1Z1W1R130318537095,UMOC,MO
71789481,1Z1W1R130318537504,UMOC,IL
71789360,1Z1W1R130318537915,UMOC,WI
71789740,1Z1W1R130318538138,UMOC,NY
71789668,1Z1W1R130318538165,UMOC,AR
71789771,92419902712015573014708377,MBPM,ME
71790076,92419902712015573014708841,MBPM,NJ
71790098,1Z1W1R130318538567,UMOC,IL
71790019,9205590295388102781729,UCPC,HI
71788953,9205590295388102782986,UPM,NY
71789153,92419902712015573014710257,MBPM,TX
71789301,92419902712015573014710417,MBPM,CA
71789397,9205590295388102781736,UCPC,OK
71789294,1Z1W1R130318539548,UMOC,VA
71789413,92748902712015573014710968,MPSL,AR
71789693,92419902712015573014711049,MBPM,VA
71789986,9205590295388102781743,UPM,AR
71790208,92748902712015573014711729,MPSL,UT
71789651,9205590295388102781750,UPM,AK
71789876,9205590295388102781767,UPM,WI
300132372,9205590295388102781774,UPM,NY
71790361,92419902712015573014712091,MBPM,GA
71790651,1Z1W1R130318540447,UMOC,PA
71790525,1Z1W1R130318540492,UMOC,VT
71790549,9205590295388102781781,UPM,OK
71790270,92419902712015573014712909,MBPM,ME
71790400,92419902712015573014713050,MBPM,CA
71790783,1Z1W1R130318540956,UMOC,MT
71790765,9205590295388102781798,UPM,NM
71790839,1Z1W1R130318541044,UMOC,NE
71790901,1Z1W1R130318541080,UMOC,NJ
71791092,92419902712015573014713685,MBPM,CA
71791019,1Z1W1R130318541400,UMOC,PA
71791025,7807453522,DHLE,PR
71791095,1Z1W1R130318541526,UMOC,CA
71790925,92419902712015573014714552,MBPM,CA
71791408,92419902712015573014715467,MBPM,MI
71791503,9205590295388102781804,UCPC,HI
71791433,1Z1W1R130318542525,UMOC,PA
71791189,9205590295388102781828,UPM,ME
71791308,1Z1W1R130318542936,UMOC,CA
71791621,1Z1W1R130318543122,UMOC,CA
71791702,92419902712015573014716754,MBPM,MA
71791866,92419902712015573014717126,MBPM,CA
71792004,1Z1W1R130318543793,UMOC,CA
300132399,9205590295388102781835,UPM,WA
71791775,9205590295388102781842,UPM,AK
71792048,1Z1W1R130318543999,UMOC,CO
71792065,9205590295388102781866,UPM,NE
71792068,1Z1W1R130318544087,UMOC,ND
71792087,1Z1W1R130318544121,UMOC,FL
71792188,1Z1W1R130318544238,UMOR,GA
71792135,92419902712015573014718079,MBPM,CA
71792207,92419902712015573014718109,MBPM,KS
71792208,1Z1W1R130318544345,UMOC,CO
71791274,9205590295388102781880,UCPC,AK
71791675,92419902712015573014718451,MBPM,CO
71792034,92419902712015573014718604,MBPM,OH
71791959,92419902712015573014718697,MBPM,UT
71792255,1Z1W1R130318544658,UMOC,CA
71792698,1Z1W1R130318544783,UMOC,HI
71792731,9205590295388102781897,UCPC,AK
71792929,1Z1W1R130318545175,UMOC,CA
71793028,92419902712015573014719519,MBPM,MI
71793100,1Z1W1R130318545415,UMOC,WI
71793086,9205590295388102781903,UPM,IN
71793099,1Z1W1R130318545424,UMOC,AZ
71793057,9205590295388102781910,UPM,AZ
71793050,1Z1W1R130318545504,UMOC,CA
71793186,92419902712015573014719656,MBPM,WI
71744537,92419902712015573014719762,MBPM,CO
71793380,1Z1W1R130318545728,UMOC,MD
71793218,9205590295388102781927,UPM,PA
71793192,9205590295388102781934,UCPC,TN
71793452,1Z1W1R130318545899,UMOC,OR
71793464,9205590295388102781941,UCPC,PR
71792295,1Z1W1R130318546174,UMOC,NY
71792482,1Z1W1R130318546218,UMOC,ND
71792408,1Z1W1R130318546307,UMOC,MI
71792641,92419902712015573014721109,MBPM,CA
71792797,92419902712015573014721123,MBPM,NY
71792877,9205590295388102781958,UPM,SD
71793123,9205590295388102781965,UCPC,NV
71793066,1Z1W1R130318546530,UMOC,RI
71792646,9205590295388102781972,UPM,HI
71792326,9205590295388102781989,UPM,MT
71792345,9205590295388102781996,UPM,HI
71792491,9205590295388102782009,UPM,PR
71792421,92419902712015573014722342,MBPM,NJ
71792528,1Z1W1R130318546834,UMOC,ND
71792439,92419902712015573014722373,MBPM,ID
300132435,9205590295388102782016,UPM,WA
71793621,1Z1W1R130318547100,UMOC,ID
71793634,1Z1W1R130318547164,UMOC,CO
71793651,1Z1W1R130318547244,UMOC,CA
71793655,9205590295388102782023,UPM,IL
71793893,1Z1W1R130318547253,UMOR,MA
71793743,9205590295388102782030,UPM,IN
71793781,92419902712015573014723349,MBPM,ID
71793921,1Z1W1R130318547477,UMOC,CA
71793973,92419902712015573014723813,MBPM,MA
71793526,9205590295388102782047,UPM,AK
71793568,9205590295388102782054,UCPC,HI
71793622,92748902712015573014724095,MPSL,CA
71793547,92419902712015573014724216,MBPM,PA
71794095,1Z1W1R130318548332,UMOR,IL
71794057,1Z1W1R130318548403,UMOC,CA
71794185,92419902712015573014724728,MBPM,MN
71794199,1Z1W1R130318548494,UMOC,PA
71794134,1Z1W1R130318548529,UMOC,WA
71794230,1Z1W1R130318548556,UMOC,NY
71794242,1Z1W1R130318548618,UMOC,OH
71794311,1Z1W1R130318548743,UMOR,UT
71794305,9205590295388102782108,UPM,HI
71794432,92419902712015573014725237,MBPM,IL
71794315,1Z1W1R130318548814,UMOC,ID
71794338,1Z1W1R130318548832,UMOC,IL
